MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,BsmtFin Type 1,Total Bsmt SF,Heating QC,Central Air,Electrical,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Type,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
60,RL,0.0,13517,Pave,no_alley,IR1,Lvl,CulDSac,Gtl,Sawyer,RRAe,1Fam,2Story,6,8,1976,2005,Gable,HdBoard,Plywood,Gd,TA,CBlock,TA,TA,GLQ,725.0,Ex,Y,SBrkr,1479,2,1,3,1,Gd,6,0,Attchd,2.0,475.0,0,44,0,0,0,no_fence,none,0,3,2010,WD ,130500
60,RL,43.0,11492,Pave,no_alley,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,2Story,7,5,1996,1997,Gable,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,913.0,Ex,Y,SBrkr,2122,2,1,4,1,Gd,8,1,Attchd,2.0,559.0,0,74,0,0,0,no_fence,none,0,4,2009,WD ,220000
20,RL,68.0,7922,Pave,no_alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,GLQ,1057.0,TA,Y,SBrkr,1057,1,0,3,1,Gd,5,0,Detchd,1.0,246.0,0,52,0,0,0,no_fence,none,0,1,2010,WD ,109000
60,RL,73.0,9802,Pave,no_alley,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,2Story,5,5,2006,2007,Gable,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,Unf,384.0,Gd,Y,SBrkr,1444,2,1,3,1,TA,7,0,BuiltIn,2.0,400.0,100,0,0,0,0,no_fence,none,0,4,2010,WD ,174000
50,RL,82.0,14235,Pave,no_alley,IR1,Lvl,Inside,Gtl,SawyerW,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,Wd Sdng,Plywood,TA,TA,PConc,Fa,Gd,Unf,676.0,TA,Y,SBrkr,1445,2,0,3,1,TA,6,0,Detchd,2.0,484.0,0,59,0,0,0,no_fence,none,0,3,2010,WD ,138500
20,RL,137.0,16492,Pave,no_alley,IR1,Lvl,Corner,Gtl,NAmes,PosA,1Fam,1Story,6,6,1966,2002,Gable,BrkFace,Plywood,Gd,TA,CBlock,TA,TA,ALQ,1517.0,Ex,Y,SBrkr,1888,2,1,2,1,Gd,6,1,Attchd,2.0,578.0,0,0,0,0,0,no_fence,none,0,6,2010,WD ,190000
180,RM,35.0,3675,Pave,no_alley,Reg,Lvl,Inside,Gtl,Edwards,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,GLQ,547.0,Gd,Y,SBrkr,1072,2,0,2,1,TA,5,0,Basment,2.0,525.0,0,44,0,0,0,no_fence,none,0,6,2006,New,140000
20,RL,0.0,12160,Pave,no_alley,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,Plywood,Plywood,TA,TA,CBlock,TA,TA,Rec,1188.0,Fa,Y,SBrkr,1188,1,0,3,1,TA,6,0,Attchd,2.0,531.0,0,0,0,0,0,MnPrv,none,0,5,2010,COD,142000
20,RL,0.0,15783,Pave,no_alley,Reg,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1Story,5,5,1952,1952,Gable,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Rec,924.0,TA,Y,SBrkr,924,1,0,2,1,TA,6,0,Detchd,1.0,420.0,0,324,0,0,0,MnPrv,Shed,400,6,2007,WD ,112500
60,RL,70.0,11606,Pave,no_alley,IR1,HLS,Inside,Sev,NAmes,Norm,1Fam,2Story,5,5,1969,1969,Gable,Plywood,Plywood,TA,TA,PConc,Gd,TA,Rec,1040.0,TA,Y,SBrkr,2080,1,2,5,1,Fa,9,2,Attchd,2.0,504.0,335,0,0,0,0,no_fence,none,0,9,2007,WD ,135000
160,RM,21.0,1680,Pave,no_alley,Reg,Lvl,Inside,Gtl,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,ALQ,483.0,TA,Y,SBrkr,987,1,1,2,1,TA,4,0,Detchd,1.0,264.0,0,0,0,0,0,no_fence,none,0,7,2008,COD,85400
20,RL,64.0,7488,Pave,no_alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,1208.0,Ex,Y,SBrkr,1208,2,0,2,1,Gd,6,0,Attchd,2.0,632.0,105,58,0,0,0,no_fence,none,0,2,2006,WD ,183600
70,RL,120.0,26400,Pave,no_alley,Reg,Bnk,FR2,Gtl,SawyerW,Feedr,1Fam,2Story,5,7,1880,2007,Gable,HdBoard,HdBoard,Gd,TA,PConc,no_bsmt,no_bsmt,no_bsmt,0.0,Ex,Y,SBrkr,2016,1,0,4,1,TA,7,1,Attchd,2.0,576.0,0,0,0,0,0,no_fence,none,0,6,2009,WD ,131000
160,FV,24.0,2645,Pave,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,Gd,TA,PConc,Gd,TA,GLQ,960.0,Ex,Y,SBrkr,1607,2,1,3,1,Gd,7,0,Detchd,2.0,480.0,169,0,0,0,0,no_fence,none,0,12,2008,ConLD,200000
20,RL,74.0,9627,Pave,no_alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,1351.0,Ex,Y,SBrkr,1361,2,0,3,1,Gd,6,0,Attchd,2.0,610.0,0,50,0,0,0,no_fence,none,0,6,2008,WD ,193000
20,RL,93.0,10114,Pave,no_alley,Reg,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1Story,5,5,2004,2005,Gable,VinylSd,VinylSd,TA,TA,PConc,Ex,TA,Unf,1430.0,Ex,Y,SBrkr,1430,2,0,3,1,Gd,7,0,Attchd,2.0,624.0,0,0,0,0,0,no_fence,none,0,3,2010,WD ,173500
